企业名称,项目名称,项目链接,项目属地,项目类别,建设单位
中恒工程设计院有限公司,中心社区白石塘村市容环境品质提升工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4403071705099904,广东省-深圳市-龙岗区,其他,深圳市龙岗区坪地街道办事处
中恒工程设计院有限公司,东环路绿化景观提升项目,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4403121701179903,广东省-深圳市,其他,深圳市光明新区城市管理局
中恒工程设计院有限公司,肇庆市端州区红棉路(大桥路-西江北路)市政道路工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4412021809060003,广东省-肇庆市-端州区,市政工程,肇庆市代建项目管理局
中恒工程设计院有限公司,惠城区技工学校周边道路完善工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4413011709110201,广东省-惠州市,市政工程,惠州市公用事业管理局
中恒工程设计院有限公司,惠州工业园首期地块区域边坡防护工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4413241701120201,广东省-惠州市-龙门县,市政工程,龙门县金丰实业投资开发有限公司
中恒工程设计院有限公司,石化区K3地块剩余6万平方米场平及滨海十二路(石化大道至电厂路段)市政改造工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4413511604250201,广东省-惠州市,市政工程,惠州大亚湾石化工业区发展集团有限公司
中恒工程设计院有限公司,惠州潼湖生态智慧区创新与总部经济区首期道路工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4413521804270201,广东省-惠州市,市政工程,中交城市投资（惠州）有限公司
中恒工程设计院有限公司,防城港市江山大道西段绿化、亮化工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4506011809260001,广西壮族自治区-防城港市,其他,防城港市城市建设投资有限责任公司
中恒工程设计院有限公司,钦州市银河街综合改造工程,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4507011806259907,广西壮族自治区-钦州市,其他,钦州市开发投资集团有限公司
中恒工程设计院有限公司,河池市老虎山片区棚户区改造项目新村安置点道路工程（塘面路、农贸路）,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4512011805029901,广西壮族自治区-河池市,其他,河池市城市投资建设发展有限公司
中恒工程设计院有限公司,五指山市水满中心学校--学生宿舍楼,http://jzsc.mohurd.gov.cn/dataservice/query/project/projectDetail/4690011611230101,海南省-省直辖县级行政区划,房屋建筑工程,五指山市教育局
